Date, Open, High, Low, Close
06/17/22, 3433.56, 3485.94, 3422.78, 3438.46
06/16/22, 3528.11, 3528.11, 3420.65, 3427.91
06/15/22, 3496.28, 3549.27, 3487.44, 3532.32
06/14/22, 3512.04, 3540.87, 3466.69, 3475.18
06/13/22, 3581.87, 3581.87, 3494.31, 3502.50
06/10/22, 3716.56, 3716.56, 3596.64, 3599.20
06/09/22, 3780.03, 3788.97, 3719.52, 3724.45
06/08/22, 3815.77, 3823.98, 3768.43, 3788.93
06/07/22, 3830.21, 3830.21, 3783.35, 3806.74
06/06/22, 3793.07, 3857.27, 3793.07, 3838.42
06/03/22, 3813.29, 3822.37, 3777.47, 3783.66
06/02/22, 3761.19, 3799.18, 3761.19, 3795.13
06/01/22, 3800.10, 3813.04, 3755.06, 3759.54
05/31/22, 3833.03, 3833.73, 3780.41, 3789.21
05/30/22, 3817.71, 3852.68, 3817.71, 3841.62
05/27/22, 3744.63, 3808.86, 3744.63, 3808.86
05/26/22, 3675.24, 3747.41, 3675.24, 3740.31
05/25/22, 3652.39, 3690.82, 3633.78, 3677.10
05/24/22, 3700.12, 3700.12, 3645.51, 3647.56
05/23/22, 3669.53, 3708.39, 3653.14, 3708.39
05/20/22, 3650.09, 3710.67, 3645.77, 3657.03
05/19/22, 3662.53, 3662.53, 3592.01, 3640.55
05/18/22, 3745.24, 3752.29, 3684.36, 3690.74
05/17/22, 3696.01, 3752.14, 3696.01, 3741.51
05/16/22, 3695.78, 3705.23, 3660.19, 3685.34
05/13/22, 3628.25, 3703.42, 3628.25, 3703.42
05/12/22, 3617.71, 3637.62, 3544.56, 3613.43
05/11/22, 3575.16, 3647.87, 3553.72, 3647.87
05/10/22, 3537.66, 3611.08, 3537.66, 3554.80
05/09/22, 3618.45, 3628.25, 3526.86, 3526.86
05/06/22, 3678.85, 3678.85, 3602.77, 3629.17
05/05/22, 3744.91, 3814.11, 3684.45, 3696.63
05/04/22, 3758.44, 3767.66, 3724.95, 3724.99
05/03/22, 3738.49, 3773.30, 3727.52, 3761.19
05/02/22, 3772.91, 3772.91, 3692.82, 3732.44
04/29/22, 3785.58, 3833.89, 3785.58, 3802.86
04/28/22, 3750.21, 3809.24, 3731.95, 3777.02
04/27/22, 3719.35, 3748.97, 3675.54, 3734.64
04/26/22, 3769.66, 3804.96, 3717.98, 3721.36
04/25/22, 3826.96, 3826.96, 3739.67, 3757.59
04/22/22, 3905.80, 3905.80, 3838.19, 3840.01
04/21/22, 3901.33, 3954.30, 3897.46, 3928.03
04/20/22, 3835.16, 3905.75, 3833.46, 3896.81
04/19/22, 3842.07, 3848.63, 3793.47, 3830.76
04/14/22, 3834.33, 3859.59, 3823.85, 3848.68
04/13/22, 3827.47, 3833.98, 3788.87, 3827.96
04/12/22, 3818.76, 3853.23, 3763.32, 3831.47
04/11/22, 3845.70, 3870.06, 3813.16, 3839.62
04/08/22, 3812.08, 3872.59, 3812.08, 3858.37
04/07/22, 3836.46, 3874.29, 3797.60, 3802.01
04/06/22, 3915.53, 3915.53, 3792.56, 3824.69
04/05/22, 3952.58, 3969.04, 3896.62, 3917.85
04/04/22, 3925.27, 3956.59, 3891.00, 3951.12
04/01/22, 3906.57, 3935.73, 3895.70, 3918.68
03/31/22, 3964.01, 3979.70, 3902.52, 3902.52
03/30/22, 3997.46, 3997.46, 3942.81, 3959.14
03/29/22, 3906.47, 4024.89, 3906.47, 4002.18
03/28/22, 3870.33, 3946.78, 3870.33, 3887.10
03/25/22, 3871.34, 3903.94, 3853.35, 3867.73
03/24/22, 3874.32, 3892.91, 3845.44, 3863.39
03/23/22, 3934.13, 3937.81, 3853.54, 3869.22
03/22/22, 3886.26, 3935.45, 3886.26, 3926.12
03/21/22, 3900.84, 3914.08, 3877.59, 3881.80
03/18/22, 3886.49, 3902.44, 3824.02, 3902.44
03/17/22, 3901.70, 3913.72, 3843.10, 3885.32
03/16/22, 3766.79, 3929.96, 3766.79, 3889.69
03/15/22, 3723.23, 3753.26, 3641.50, 3738.11
03/14/22, 3694.76, 3789.58, 3694.76, 3741.10
03/11/22, 3657.37, 3801.48, 3630.28, 3686.78
03/10/22, 3764.64, 3764.64, 3627.13, 3651.39
03/09/22, 3548.49, 3766.02, 3548.49, 3766.02
03/08/22, 3489.16, 3610.95, 3469.20, 3505.29
03/07/22, 3529.57, 3599.93, 3387.00, 3512.22
03/04/22, 3723.97, 3723.97, 3556.01, 3556.01
03/03/22, 3819.14, 3841.92, 3731.35, 3741.78
03/02/22, 3755.27, 3849.72, 3720.72, 3820.59
03/01/22, 3920.03, 3923.75, 3765.85, 3765.85
02/28/22, 3940.99, 3940.99, 3825.08, 3924.23
02/25/22, 3836.85, 3970.83, 3829.28, 3970.69
02/24/22, 3939.51, 3939.51, 3765.42, 3829.29
02/23/22, 3991.66, 4054.17, 3962.79, 3973.41
02/22/22, 3960.20, 4016.46, 3894.99, 3985.47
02/21/22, 4090.71, 4104.63, 3957.20, 3985.71
02/18/22, 4107.72, 4128.73, 4054.72, 4074.28
02/17/22, 4139.88, 4158.44, 4092.79, 4113.19
02/16/22, 4149.56, 4180.32, 4117.17, 4137.22
